station_id,primary_station_id_3,primary_station_id_2,station_name,height_of_station_above_sea_level,sub_region,region,record_id,source_id
USC00469613,USC00469613-161,USC00469613-1,WV WILLIAMSON 2 NE,457,231,4,1,161
USC00469683,USC00469683-161,USC00469683-1,WV WINFIELD LOCKS   HCN,189,231,4,1,161
USC00469785,USC00469785-162,USC00469785-1,WV WYMER,988,231,4,1,162
USC00470045,USC00470045-161,USC00470045-1,WI AFTON - JANESVILLE WWTP,232,231,4,1,161
USC00470080,USC00470080-161,USC00470080-1,WI ALLENTON,291,231,4,1,161
USC00470124,USC00470124-161,USC00470124-1,WI ALMA DAM 4,204,231,4,1,161
USC00470175,USC00470175-161,USC00470175-1,WI AMERY,326,231,4,1,161
USC00470205,USC00470205-162,USC00470205-1,WI AMHERST,364,231,4,1,162
USC00470239,USC00470239-161,USC00470239-1,WI ANTIGO,463,231,4,1,161
USC00470265,USC00470265-161,USC00470265-1,WI APPLETON,241,231,4,1,161
USC00470268,USC00470268-162,USC00470268-1,WI APPOLONIA,-999,231,4,1,162
USC00470273,USC00470273-161,USC00470273-1,WI UW ARBORETUM - MADISON,265,231,4,1,161
USC00470287,USC00470287-161,USC00470287-1,WI ARGYLE WWTP,242,231,4,1,161
USC00470307,USC00470307-161,USC00470307-1,WI ARLINGTON,317,231,4,1,161
USC00470308,USC00470308-161,USC00470308-1,WI ARLINGTON,321,231,4,1,161
USC00470347,USC00470347-161,USC00470347-1,WI ASHLAND 3S,252,231,4,1,161
USC00470349,USC00470349-161,USC00470349-1,WI ASHLAND EXP FARM   HCN,198,231,4,1,161
USC00470382,USC00470382-161,USC00470382-1,WI AUGUSTA RS,293,231,4,1,161
USC00470448,USC00470448-161,USC00470448-1,WI BABBS ISLAND,397,231,4,1,161
USC00470456,USC00470456-161,USC00470456-1,WI BABCOCK 1 WNW,297,231,4,1,161
USC00470486,USC00470486-161,USC00470486-1,WI BALDWIN,335,231,4,1,161
USC00470516,USC00470516-161,USC00470516-1,WI BARABOO,251,231,4,1,161
USC00470565,USC00470565-162,USC00470565-1,WI BARRON,340,231,4,1,162
USC00470603,USC00470603-161,USC00470603-1,WI BAYFIELD 6 N,250,231,4,1,161
USC00470604,USC00470604-120,USC00470604-1,WI BAYFIELD FISH HATCHERY,188,231,4,1,120
USC00470642,USC00470642-162,USC00470642-1,WI BEAVER BROOK,369,231,4,1,162
USC00470645,USC00470645-161,USC00470645-1,WI BEAVER DAM WWTP,262,231,4,1,161
USC00470652,USC00470652-161,USC00470652-1,WI BELGIUM WWTP,223,231,4,1,161
USC00470660,USC00470660-162,USC00470660-1,WI BELLEVILLE,-999,231,4,1,162
USC00470696,USC00470696-161,USC00470696-1,WI BELOIT,240,231,4,1,161
USC00470735,USC00470735-161,USC00470735-1,WI BERLIN LOCK,238,231,4,1,161
USC00470740,USC00470740-161,USC00470740-1,WI BERLIN,232,231,4,1,161
USC00470742,USC00470742-161,USC00470742-1,WI BERLIN WWTP,234,231,4,1,161
USC00470773,USC00470773-161,USC00470773-1,WI BIG FALLS HYDRO,367,231,4,1,161
USC00470786,USC00470786-161,USC00470786-1,WI BIG ST GERMAIN DAM,494,231,4,1,161
USC00470851,USC00470851-162,USC00470851-1,WI BLACK RIVER FALLS 2 SE,265,231,4,1,162
USC00470855,USC00470855-161,USC00470855-1,WI BLACK RVR FALLS SEWAGE,247,231,4,1,161
USC00470882,USC00470882-161,USC00470882-1,WI BLAIR,261,231,4,1,161
USC00470885,USC00470885-161,USC00470885-1,WI BLAIR 2NW,261,231,4,1,161
USC00470890,USC00470890-161,USC00470890-1,WI BLANCHARDVILLE,253,231,4,1,161
USC00470892,USC00470892-161,USC00470892-1,WI BLANCHARDVILLE #2,254,231,4,1,161
USC00470904,USC00470904-161,USC00470904-1,WI BLOOMER,302,231,4,1,161
USC00470929,USC00470929-161,USC00470929-1,WI BLUE MOUNDS 6 SSE,320,231,4,1,161
USC00470950,USC00470950-162,USC00470950-1,WI BOSCOBEL,216,231,4,1,162
USC00470991,USC00470991-161,USC00470991-1,WI BOWLER   HCN,329,231,4,1,161
USC00471039,USC00471039-161,USC00471039-1,WI BREAKWATER,363,231,4,1,161
USC00471044,USC00471044-161,USC00471044-1,WI BREED 6 SSE,262,231,4,1,161
USC00471062,USC00471062-161,USC00471062-1,WI BROOKFIELD WWTP,253,231,4,1,161
USC00471064,USC00471064-161,USC00471064-1,WI BRILLION,247,231,4,1,161
USC00471078,USC00471078-161,USC00471078-1,WI BRODHEAD WWTP    HCN,238,231,4,1,161
USC00471131,USC00471131-161,USC00471131-1,WI BRULE RS,305,231,4,1,161
USC00471139,USC00471139-161,USC00471139-1,WI BRULE ISLAND,381,231,4,1,161
USC00471155,USC00471155-161,USC00471155-1,WI BUCKATABON,505,231,4,1,161
USC00471205,USC00471205-161,USC00471205-1,WI BURLINGTON,229,231,4,1,161
USC00471213,USC00471213-161,USC00471213-1,WI BURNETT 3 S,296,231,4,1,161
USC00471245,USC00471245-162,USC00471245-1,WI BUTTERNUT,460,231,4,1,162
USC00471249,USC00471249-161,USC00471249-1,WI BUTTERNUT 3SW,479,231,4,1,161
USC00471250,USC00471250-162,USC00471250-1,WI CADIZ,183,231,4,1,162
USC00471265,USC00471265-162,USC00471265-1,WI CAMBRIA,264,231,4,1,162
USC00471280,USC00471280-161,USC00471280-1,WI CASHTON,418,231,4,1,161
USC00471282,USC00471282-161,USC00471282-1,WI CASHTON 2 S,406,231,4,1,161
USC00471283,USC00471283-161,USC00471283-1,WI CASHTON 5 SE,409,231,4,1,161
USC00471284,USC00471284-161,USC00471284-1,WI CASHTON 4 SSE,378,231,4,1,161
USC00471287,USC00471287-120,USC00471287-1,WI CASHTON 3NNW,286,231,4,1,120
USC00471295,USC00471295-162,USC00471295-1,WI CECIL,245,231,4,1,162
USC00471304,USC00471304-161,USC00471304-1,WI CEDARBURG 1 E,240,231,4,1,161
USC00471308,USC00471308-161,USC00471308-1,WI CEDAR FALLS HYDRO PLT,252,231,4,1,161
USC00471360,USC00471360-162,USC00471360-1,WI CENTRALIA,273,231,4,1,162
USC00471416,USC00471416-161,USC00471416-1,WI CHARMANY FARM,319,231,4,1,161
USC00471543,USC00471543-161,USC00471543-1,WI CHEROKEE,390,231,4,1,161
USC00471568,USC00471568-161,USC00471568-1,WI CHILTON,256,231,4,1,161
USC00471578,USC00471578-161,USC00471578-1,WI CHIPPEWA FALLS,250,231,4,1,161
USC00471600,USC00471600-162,USC00471600-1,WI CITY POINT,297,231,4,1,162
USC00471604,USC00471604-161,USC00471604-1,WI CLAM LAKE 4W,457,231,4,1,161
USC00471605,USC00471605-161,USC00471605-1,WI SHEBOYGAN WWTP,184,231,4,1,161
USC00471618,USC00471618-161,USC00471618-1,WI CLAM LAKE 10SW,420,231,4,1,161
USC00471667,USC00471667-161,USC00471667-1,WI CLINTON WWTP,282,231,4,1,161
USC00471676,USC00471676-161,USC00471676-1,WI CLINTONVILLE,244,231,4,1,161
USC00471681,USC00471681-161,USC00471681-1,WI CLYMAN,276,231,4,1,161
USC00471708,USC00471708-161,USC00471708-1,WI CODDINGTON 1 E,323,231,4,1,161
USC00471790,USC00471790-120,USC00471790-1,WI COLUMBUS,253,231,4,1,120
USC00471806,USC00471806-161,USC00471806-1,WI COON VALLEY EXP FARM,393,231,4,1,161
USC00471836,USC00471836-162,USC00471836-1,WI CORNUCOPIA 3 E,195,231,4,1,162
USC00471840,USC00471840-161,USC00471840-1,WI COTTAGE GROVE,264,231,4,1,161
USC00471847,USC00471847-161,USC00471847-1,WI COUDERAY 7 W,396,231,4,1,161
USC00471875,USC00471875-161,USC00471875-1,WI CRANDON RS,500,231,4,1,161
USC00471880,USC00471880-162,USC00471880-1,WI CRANMOOR,305,231,4,1,162
USC00471897,USC00471897-161,USC00471897-1,WI CRIVITZ HIGH FALLS,290,231,4,1,161
USC00471913,USC00471913-161,USC00471913-1,WI CUBA CITY,297,231,4,1,161
USC00471923,USC00471923-161,USC00471923-1,WI CUMBERLAND,378,231,4,1,161
USC00471931,USC00471931-161,USC00471931-1,WI CURTISS,418,231,4,1,161
USC00471970,USC00471970-161,USC00471970-1,WI DALTON,262,231,4,1,161
USC00471978,USC00471978-161,USC00471978-1,WI DANBURY,290,231,4,1,161
USC00472001,USC00472001-161,USC00472001-1,WI DARLINGTON WWTP    HCN,260,231,4,1,161
USC00472041,USC00472041-161,USC00472041-1,WI DEER PARK,323,231,4,1,161
USC00472050,USC00472050-162,USC00472050-1,WI DELAVAN,280,231,4,1,162
USC00472051,USC00472051-120,USC00472051-1,WI DELAVAN WWTP,269,231,4,1,120
USC00472055,USC00472055-161,USC00472055-1,WI DENMARK WWTP,247,231,4,1,161
USC00472165,USC00472165-161,USC00472165-1,WI DODGE,209,231,4,1,161
USC00472173,USC00472173-161,USC00472173-1,WI DODGEVILLE WWTP,341,231,4,1,161
USC00472209,USC00472209-162,USC00472209-1,WI DOWNING 1 E,299,231,4,1,162
USC00472240,USC00472240-161,USC00472240-1,WI DRUMMOND,408,231,4,1,161
USC00472263,USC00472263-162,USC00472263-1,WI DUNBAR NEAR,-999,231,4,1,162
USC00472279,USC00472279-161,USC00472279-1,WI DURAND,215,231,4,1,161
USC00472302,USC00472302-161,USC00472302-1,WI EAGLE 2 W,274,231,4,1,161
USC00472314,USC00472314-161,USC00472314-1,WI EAGLE RVR,495,231,4,1,161
USC00472370,USC00472370-162,USC00472370-1,WI EASTON,299,231,4,1,162
