observation_id,data_policy_licence,date_time,date_time_meaning,observation_duration,longitude,latitude,report_type,height_above_surface,observed_variable,units,observation_value,value_significance,platform_type,station_type,primary_station_id,station_name,quality_flag,source_id
GM000003319-5-1899-05-85-0,Open,1899-05-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,291.04,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-05-85-1,Open,1899-05-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,282.3,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-06-85-0,Open,1899-06-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,293.8,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-06-85-1,Open,1899-06-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,284.85,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-07-85-0,Open,1899-07-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,297.59,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-07-85-1,Open,1899-07-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,288.87,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-08-85-0,Open,1899-08-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,296.26,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-08-85-1,Open,1899-08-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,286.84,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-09-85-0,Open,1899-09-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,290.45,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-09-85-1,Open,1899-09-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,283.57,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-10-85-0,Open,1899-10-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,285.98,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-10-85-1,Open,1899-10-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,278.61,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-11-85-0,Open,1899-11-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,283.42,Maximum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
GM000003319-5-1899-11-85-1,Open,1899-11-01 00:00:00+00:00,beginning,monthly,13.302,52.464,CLIMAT,2.0,air_temperature,K,278.48,Minimum value over indicated period,,Land station,GM000003319,BERLIN-DAHLEM,Passed,232
