station_id,record_id,primary_station_id_2,primary_station_id_3,station_name,height_of_station_above_sea_level,sub_region,region,source_id
AQW00061705,1,AQW00061705-1,AQW00061705-120,AS PAGO PAGO WSO AP,3.7,11,5,120
AR000000001,1,AR000000001-1,AR000000001-232,BAIBENE,109,10,3,232
AR000000002,1,AR000000002-1,AR000000002-232,BONPLAND,75,10,3,232
AR000000003,1,AR000000003-1,AR000000003-232,CAZADORES CORRENTINOS,90,10,3,232
AR000000004,1,AR000000004-1,AR000000004-232,CHAJAR355,71,10,3,232
AR000000005,1,AR000000005-1,AR000000005-232,COLONIA LIBERTAD,74,10,3,232
AR000000006,1,AR000000006-1,AR000000006-232,CONCORDIA,38,10,3,232
AR000000007,1,AR000000007-1,AR000000007-232,CONQUISTADORES,72,10,3,232
AR000000008,1,AR000000008-1,AR000000008-166,CURUZU CUATIA AERO,70,10,3,166
AR000000009,1,AR000000009-1,AR000000009-232,FEDERACI/363N,38,10,3,232
AR000000010,1,AR000000010-1,AR000000010-232,MOCORETA LAGO,37,10,3,232
AR000000011,1,AR000000011-1,AR000000011-166,MONTE CASEROS AERO,53,10,3,166
AR000000012,1,AR000000012-1,AR000000012-232,PASO DE LOS LIBRES,58,10,3,232
AR000000013,1,AR000000013-1,AR000000013-232,PUJOL,86,10,3,232
AR000000014,1,AR000000014-1,AR000000014-232,REDOM363N,70,10,3,232
AR000000015,1,AR000000015-1,AR000000015-232,SAN JAIME DE ARRUABARRENA,83,10,3,232
AR000000016,1,AR000000016-1,AR000000016-232,SOLARI,110,10,3,232
AR000087007,1,AR000087007-1,AR000087007-166,LA QUIACA OBSERVATO,3479,10,3,166
AR000087065,1,AR000087065-1,AR000087065-166,RIVADAVIA,205,10,3,166
AR000087078,1,AR000087078-1,AR000087078-166,LAS LOMITAS,130,10,3,166
AR000087129,1,AR000087129-1,AR000087129-166,SANTIAGO DEL ESTERO,200,10,3,166
AR000087155,1,AR000087155-1,AR000087155-166,RESISTENCIA AERO,53,10,3,166
AR000087217,1,AR000087217-1,AR000087217-166,LA RIOJA AERO.,438,10,3,166
AR000087257,1,AR000087257-1,AR000087257-166,CERES AERO,88,10,3,166
AR000087270,1,AR000087270-1,AR000087270-166,RECONQUISTA AERO,53,10,3,166
AR000087344,1,AR000087344-1,AR000087344-166,CORDOBA AERO,489,10,3,166
AR000087374,1,AR000087374-1,AR000087374-166,PARANA AERO,74,10,3,166
AR000087418,1,AR000087418-1,AR000087418-166,MENDOZA AERO,704,10,3,166
AR000087534,1,AR000087534-1,AR000087534-166,LABOULAYE AERO,137,10,3,166
AR000087623,1,AR000087623-1,AR000087623-166,SANTA ROSA AERO,192,10,3,166
AR000087692,1,AR000087692-1,AR000087692-166,MAR DEL PLATA AERO,22,10,3,166
AR000087715,1,AR000087715-1,AR000087715-166,NEUQUEN AERO,273,10,3,166
AR000087803,1,AR000087803-1,AR000087803-166,ESQUEL AERO,799,10,3,166
AR000087828,1,AR000087828-1,AR000087828-166,TRELEW AERO,43,10,3,166
AR000087860,1,AR000087860-1,AR000087860-166,COMODORO RIVADAVIA,58,10,3,166
AR000087925,1,AR000087925-1,AR000087925-166,RIO GALLEGOS AERO,19,10,3,166
AR000870470,1,AR000870470-1,AR000870470-166,SALTA AERO,1246,10,3,166
AR000873050,1,AR000873050-1,AR000873050-166,JACHAL,1175,10,3,166
AR000875440,1,AR000875440-1,AR000875440-166,PEHUAJO AERO,85,10,3,166
AR000875850,1,AR000875850-1,AR000875850-166,BUENOS AIRES OBSERV,25,10,3,166
AR000877500,1,AR000877500-1,AR000877500-166,BAHIA BLANCA AERO,75,10,3,166
ARM00087016,1,ARM00087016-1,ARM00087016-166,ORAN,356,10,3,166
ARM00087022,1,ARM00087022-1,ARM00087022-166,GENERAL ENRIQUE MOSCONI TARTA,449,10,3,166
ARM00087046,1,ARM00087046-1,ARM00087046-166,JUJUY,920.2,10,3,166
ARM00087121,1,ARM00087121-1,ARM00087121-166,TENIENTE BENJAMIN MATIENZO,455.7,10,3,166
ARM00087148,1,ARM00087148-1,ARM00087148-166,PRESIDENCIA ROQUE SAENZ PENA,93,10,3,166
ARM00087162,1,ARM00087162-1,ARM00087162-166,FORMOSA,59.1,10,3,166
ARM00087166,1,ARM00087166-1,ARM00087166-166,CORRIENTES,61.9,10,3,166
ARM00087178,1,ARM00087178-1,ARM00087178-166,POSADAS,131.1,10,3,166
ARM00087213,1,ARM00087213-1,ARM00087213-166,CHILECITO AERO,945,10,3,166
ARM00087222,1,ARM00087222-1,ARM00087222-166,CATAMARCA,463.9,10,3,166
ARM00087244,1,ARM00087244-1,ARM00087244-166,VILLA MARIA DEL RIO,341,10,3,166
ARM00087289,1,ARM00087289-1,ARM00087289-166,PASO DE LOS LIBRES,70.1,10,3,166
ARM00087311,1,ARM00087311-1,ARM00087311-166,SAN JUAN,597.1,10,3,166
ARM00087320,1,ARM00087320-1,ARM00087320-166,CHAMICAL AERO,461,10,3,166
ARM00087322,1,ARM00087322-1,ARM00087322-166,CHEPES,658,10,3,166
ARM00087328,1,ARM00087328-1,ARM00087328-166,VILLA DOLORES,583.7,10,3,166
ARM00087345,1,ARM00087345-1,ARM00087345-166,CORDOBA OBSERVATORIO,426,10,3,166
ARM00087349,1,ARM00087349-1,ARM00087349-166,PILAR OBSERVATORIO,338,10,3,166
ARM00087395,1,ARM00087395-1,ARM00087395-166,COMODORO PIERRESTEGUI,34.1,10,3,166
ARM00087416,1,ARM00087416-1,ARM00087416-166,SAN MARTIN,653,10,3,166
ARM00087420,1,ARM00087420-1,ARM00087420-166,MENDOZA OBSERVATORIO,827,10,3,166
ARM00087436,1,ARM00087436-1,ARM00087436-166,SAN LUIS,709.9,10,3,166
