primary_station_id_3,primary_station_id_2,station_id,record_number,station_name,longitude,latitude,height_of_station_above_sea_level,sub_region,region,data_policy_licence
USC00026616-120-2,USC00026616-120,USC00026616,2,AZ PIPE SPRING NM,-112.738,36.862,1499.6,231,4,0
USC00026616-160-3,USC00026616-160,USC00026616,3,AZ PIPE SPRING NM,-112.738,36.862,1499.6,231,4,0
USC00026616-161-1,USC00026616-161,USC00026616,1,AZ PIPE SPRING NM,-112.738,36.862,1499.6,231,4,0
USC00026653-120-3,USC00026653-120,USC00026653,3,AZ PLEASANT VALLEY,-110.966,34.1,1579.8,231,4,0
USC00026653-161-1,USC00026653-161,USC00026653,1,AZ PLEASANT VALLEY,-110.966,34.1,1579.8,231,4,0
USC00026653-233-2,USC00026653-233,USC00026653,2,AZ PLEASANT VALLEY,-110.966,34.1,1579.8,231,4,0
USC00026716-120-2,USC00026716-120,USC00026716,2,AZ PORTAL 4 SW,-109.206,31.883,1642.9,231,4,0
USC00026716-161-1,USC00026716-161,USC00026716,1,AZ PORTAL 4 SW,-109.206,31.883,1642.9,231,4,0
USC00026796-120-3,USC00026796-120,USC00026796,3,AZ PRESCOTT     HCN,-112.432,34.571,1586.5,231,4,0
USC00026796-160-4,USC00026796-160,USC00026796,4,AZ PRESCOTT     HCN,-112.432,34.571,1586.5,231,4,0
USC00026796-161-1,USC00026796-161,USC00026796,1,AZ PRESCOTT     HCN,-112.432,34.571,1586.5,231,4,0
USC00026796-233-2,USC00026796-233,USC00026796,2,AZ PRESCOTT     HCN,-112.432,34.571,1586.5,231,4,0
USC00026840-120-3,USC00026840-120,USC00026840,3,AZ PUNKIN CTR,-111.306,33.856,708.7,231,4,0
USC00026840-161-1,USC00026840-161,USC00026840,1,AZ PUNKIN CTR,-111.306,33.856,708.7,231,4,0
USC00026840-233-2,USC00026840-233,USC00026840,2,AZ PUNKIN CTR,-111.306,33.856,708.7,231,4,0
USC00026865-120-4,USC00026865-120,USC00026865,4,AZ QUARTZSITE,-114.227,33.665,266.7,231,4,0
USC00026865-161-1,USC00026865-161,USC00026865,1,AZ QUARTZSITE,-114.227,33.665,266.7,231,4,0
USC00026865-162-2,USC00026865-162,USC00026865,2,AZ QUARTZSITE,-114.227,33.665,266.7,231,4,0
USC00026865-233-3,USC00026865-233,USC00026865,3,AZ QUARTZSITE,-114.227,33.665,266.7,231,4,0
USC00027036-120-3,USC00027036-120,USC00027036,3,AZ REDINGTON,-110.488,32.428,879,231,4,0
USC00027036-161-1,USC00027036-161,USC00027036,1,AZ REDINGTON,-110.488,32.428,879,231,4,0
USC00027036-162-2,USC00027036-162,USC00027036,2,AZ REDINGTON,-110.488,32.428,879,231,4,0
USC00027187-120-3,USC00027187-120,USC00027187,3,AZ ROBSON RCH,-111.631,32.812,455.7,231,4,0
USC00027187-160-4,USC00027187-160,USC00027187,4,AZ ROBSON RCH,-111.631,32.812,455.7,231,4,0
USC00027187-161-1,USC00027187-161,USC00027187,1,AZ ROBSON RCH,-111.631,32.812,455.7,231,4,0
USC00027187-233-2,USC00027187-233,USC00027187,2,AZ ROBSON RCH,-111.631,32.812,455.7,231,4,0
USC00027281-120-3,USC00027281-120,USC00027281,3,AZ ROOSEVELT 1 S    HCN,-111.109,33.649,794,231,4,0
USC00027281-160-4,USC00027281-160,USC00027281,4,AZ ROOSEVELT 1 S    HCN,-111.109,33.649,794,231,4,0
USC00027281-161-1,USC00027281-161,USC00027281,1,AZ ROOSEVELT 1 S    HCN,-111.109,33.649,794,231,4,0
USC00027281-233-2,USC00027281-233,USC00027281,2,AZ ROOSEVELT 1 S    HCN,-111.109,33.649,794,231,4,0
USC00027334-120-3,USC00027334-120,USC00027334,3,AZ RUCKER CANYON,-109.413,31.756,1636.8,231,4,0
USC00027334-161-1,USC00027334-161,USC00027334,1,AZ RUCKER CANYON,-109.413,31.756,1636.8,231,4,0
USC00027334-233-2,USC00027334-233,USC00027334,2,AZ RUCKER CANYON,-109.413,31.756,1636.8,231,4,0
USC00027370-120-3,USC00027370-120,USC00027370,3,AZ SACATON  HCN,-111.766,33.072,396.2,231,4,0
USC00027370-161-1,USC00027370-161,USC00027370,1,AZ SACATON  HCN,-111.766,33.072,396.2,231,4,0
USC00027370-233-2,USC00027370-233,USC00027370,2,AZ SACATON  HCN,-111.766,33.072,396.2,231,4,0
USC00027390-120-2,USC00027390-120,USC00027390,2,AZ SAFFORD AG CTR   HCN,-109.681,32.815,900.4,231,4,0
USC00027390-161-1,USC00027390-161,USC00027390,1,AZ SAFFORD AG CTR   HCN,-109.681,32.815,900.4,231,4,0
USC00027398-120-2,USC00027398-120,USC00027398,2,AZ SAGUARO NP,-110.736,32.179,938.8,231,4,0
USC00027398-160-3,USC00027398-160,USC00027398,3,AZ SAGUARO NP,-110.736,32.179,938.8,231,4,0
USC00027398-161-1,USC00027398-161,USC00027398,1,AZ SAGUARO NP,-110.736,32.179,938.8,231,4,0
USC00027435-120-4,USC00027435-120,USC00027435,4,AZ SAINT JOHNS    HCN,-109.403,34.517,1764.8,231,4,0
USC00027435-160-5,USC00027435-160,USC00027435,5,AZ SAINT JOHNS    HCN,-109.403,34.517,1764.8,231,4,0
USC00027435-162-2,USC00027435-162,USC00027435,2,AZ SAINT JOHNS    HCN,-109.403,34.517,1764.8,231,4,0
USC00027435-233-3,USC00027435-233,USC00027435,3,AZ SAINT JOHNS    HCN,-109.403,34.517,1764.8,231,4,0
USC00027480-120-3,USC00027480-120,USC00027480,3,AZ SAN CARLOS RESERVOIR,-110.526,33.182,771.8,231,4,0
