DWD - Day Historical Data
relh/wspd/airtmax/airtmin
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  RELH  RELH  RELH  RELH  WSPD  WSPD  WSPD  WSPD  AIRTH AIRTH AIRTH AIRTH AIRTL AIRTL AIRTL AIRTL 
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        %     %     %           m/s   m/s   m/s         C     C     C           C     C     C     
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++----++----++----+
00355   140     49.6789   8.6276 19470101 19891031    15614  15614  31.0 100.0 75.65     0-99.00-99.00-99.00 15614 -12.0  38.3 14.61 15614 -20.5  23.3  6.12
00365   421     49.3311  11.4303 19911001 20020930     4018   4017  38.0  97.0 77.87     0-99.00-99.00-99.00  4018 -10.5  36.3 13.17  4018 -23.8  20.9  4.25
00368    70     52.8152   9.9248 20000701 20151231     5657   5521  41.4 100.0 80.55  5440  0.10  6.30  1.78     2  25.9  30.8 28.35     0 -99.0 -99.0-99.00
00377   252     49.1070   7.9967 19470101 20151231    24563  24559  27.8 100.0 75.32     0-99.00-99.00-99.00 24563 -12.6  38.3 14.39 24563 -19.4  24.2  6.38
00386   445     51.0454   8.3851 19730701 19861130     4870   4870  31.0 100.0 82.51     0-99.00-99.00-99.00  4870 -12.0  34.1 11.40  4870 -23.5  17.7  2.80
00390   610     50.9837   8.3679 19861201 20151231    10623  10611  20.0 100.0 83.86     0-99.00-99.00-99.00 10623 -15.0  33.6 10.60 10623 -20.0  21.8  3.84
00395    38     52.4167  13.4833 19480701 19531231     2010   1982  37.0 100.0 77.79     0-99.00-99.00-99.00  2010  -9.4  34.6 13.96  2010 -17.5  18.9  4.99
00399    37     52.5206  13.4106 19810101 20141231    12312  10284  26.0  99.0 68.87  8346  0.00 24.30  8.83 10561 -14.9  37.8 14.17 10560 -18.7  24.5  7.33
00400    60     52.6309  13.5022 19610101 20151231    20088  19894  19.0 100.0 77.14  3223  0.00  8.60  2.37 19904 -15.7  38.2 13.49 19904 -23.9  21.6  5.40
00402    55     52.4564  13.2997 18760101 19621231    31586  15039  25.0 100.0 78.62     0-99.00-99.00-99.00 31586 -16.0  37.2 12.89 31586 -26.0  23.8  5.11
00403    51     52.4537  13.3017 19500101 20151231    24106  24105  29.0 100.0 76.52     0-99.00-99.00-99.00 24106 -16.4  37.9 13.38 24106 -21.8  21.3  5.28
00405    37     52.4500  13.6500 19510401 19541231     1371   1160  51.0 100.0 84.59     0-99.00-99.00-99.00  1160  -3.5  35.0 15.56  1160 -20.7  17.9  4.28
00407    48     52.6461  13.2858 19580101 19780331     7395   7395  34.0 100.0 77.97     0-99.00-99.00-99.00  7395 -15.2  38.4 12.60  7395 -25.3  20.9  3.98
00408    35     52.5333  13.3833 19481201 19511130     1095   1095  28.0  97.0 72.07     0-99.00-99.00-99.00  1095  -8.5  34.8 13.93  1095 -13.4  22.0  6.71
00410    33     52.4040  13.7309 19960601 20151231     7153   7142  37.0 100.0 77.65     0-99.00-99.00-99.00  7153 -12.6  38.9 14.55  7153 -24.0  20.0  4.33
00416    47     52.4069  13.4127 19820701 19960930     5114   5114  36.0  99.0 74.60     0-99.00-99.00-99.00  5114 -16.4  38.2 13.62  5114 -21.5  21.8  5.66
00417    43     52.4144  13.3036 19360101 19561031     7215   7215  30.0 100.0 78.11     0-99.00-99.00-99.00  7215 -15.4  37.1 13.10  7215 -24.2  20.4  4.41
00420    60     52.5447  13.5598 19930501 20151231     6972   6963  32.0  99.2 74.33     0-99.00-99.00-99.00  6972 -11.9  38.0 14.24  6972 -19.9  23.0  6.30
00422    35     52.5333  13.3833 19560101 19641231     3288   3288  35.0  98.0 74.48     0-99.00-99.00-99.00  3288 -15.2  37.7 13.20  3288 -21.7  22.8  5.89
00424    36     52.5000  13.4667 19540101 19801231     9862   9862  31.0 100.0 73.98  2148  0.00 10.80  2.58  9862 -16.8  37.9 13.19  9862 -24.1  22.8  6.03
00425    38     52.4044  13.4838 19590101 19820630     8582   8582  27.0 100.0 76.87     0-99.00-99.00-99.00  8582 -15.9  37.8 13.11  8582 -23.2  20.3  4.52
00427    46     52.3807  13.5306 19670101 20151231    17897  17867  30.0 100.0 77.18 15550  0.30 15.50  3.91 17897 -16.2  37.8 13.64 17897 -25.3  21.5  4.97
00429    32     52.5667  13.1694 19861001 19870131      123    123  57.0  97.0 82.69     0-99.00-99.00-99.00   123 -18.0  20.3  5.80   123 -23.0  10.9 -0.67
00430    36     52.5644  13.3088 19630101 20151231    19358  19358  25.0 100.0 73.24 10580  0.30 12.50  3.60 19358 -16.8  37.7 13.59 19358 -24.4  23.7  5.84
00432    36     52.6044  13.2952 19780401 19941231     6088   6088  20.0 100.0 75.61     0-99.00-99.00-99.00  6088 -16.2  38.0 13.12  6088 -23.3  21.0  4.82
00433    48     52.4675  13.4021 19480101 20151231    24837  24820  27.0 100.0 73.89 15260  0.00 14.50  3.89 24837 -17.0  38.1 13.48 24837 -22.5  23.4  5.93
