station_id,primary_station_id_3,primary_station_id_2,height_of_station_above_sea_level,sub_region,region,source_id,record_id,station_name
AR000087129,AR000087129-231,AR000087129-1,200,10,3,231,1,SANTIAGO DEL ESTERO
AR000087155,AR000087155-231,AR000087155-1,53,10,3,231,1,RESISTENCIA AERO GSN
AR000087217,AR000087217-231,AR000087217-1,438,10,3,231,1,LA RIOJA AERO. GSN
AR000087257,AR000087257-231,AR000087257-1,88,10,3,231,1,CERES AERO GSN
AR000087270,AR000087270-231,AR000087270-1,53,10,3,231,1,RECONQUISTA AERO GSN
AR000087344,AR000087344-231,AR000087344-1,489,10,3,231,1,CORDOBA AERO GSN
AR000087374,AR000087374-231,AR000087374-1,74,10,3,231,1,PARANA AERO GSN
AR000087418,AR000087418-231,AR000087418-1,704,10,3,231,1,MENDOZA AERO GSN
AR000087534,AR000087534-231,AR000087534-1,137,10,3,231,1,LABOULAYE AERO GSN
AR000087623,AR000087623-231,AR000087623-1,192,10,3,231,1,SANTA ROSA AERO GSN
AR000087692,AR000087692-231,AR000087692-1,22,10,3,231,1,MAR DEL PLATA AERO GSN
AR000087715,AR000087715-231,AR000087715-1,273,10,3,231,1,NEUQUEN AERO GSN
AR000087803,AR000087803-231,AR000087803-1,799,10,3,231,1,ESQUEL AERO GSN
AR000087828,AR000087828-231,AR000087828-1,43,10,3,231,1,TRELEW AERO GSN
AR000087860,AR000087860-231,AR000087860-1,58,10,3,231,1,COMODORO RIVADAVIA GSN
AR000087925,AR000087925-231,AR000087925-1,19,10,3,231,1,RIO GALLEGOS AERO GSN
AR000870470,AR000870470-231,AR000870470-1,1246,10,3,231,1,SALTA AERO GSN
AR000873050,AR000873050-231,AR000873050-1,1175,10,3,231,1,JACHAL GSN
AR000875440,AR000875440-231,AR000875440-1,85,10,3,231,1,PEHUAJO AERO GSN
AR000875850,AR000875850-231,AR000875850-1,25,10,3,231,1,BUENOS AIRES OBSERV
AR000877500,AR000877500-231,AR000877500-1,75,10,3,231,1,BAHIA BLANCA AERO GSN
ARM00087016,ARM00087016-166,ARM00087016-1,356,10,3,166,1,ORAN
ARM00087022,ARM00087022-166,ARM00087022-1,449,10,3,166,1,GENERAL ENRIQUE MOSCONI TARTA
ARM00087046,ARM00087046-166,ARM00087046-1,920.2,10,3,166,1,JUJUY
ARM00087121,ARM00087121-166,ARM00087121-1,455.7,10,3,166,1,TENIENTE BENJAMIN MATIENZO
ARM00087148,ARM00087148-166,ARM00087148-1,93,10,3,166,1,PRESIDENCIA ROQUE SAENZ PENA
ARM00087162,ARM00087162-166,ARM00087162-1,59.1,10,3,166,1,FORMOSA
ARM00087166,ARM00087166-166,ARM00087166-1,61.9,10,3,166,1,CORRIENTES
ARM00087178,ARM00087178-166,ARM00087178-1,131.1,10,3,166,1,POSADAS GSN
ARM00087213,ARM00087213-166,ARM00087213-1,945,10,3,166,1,CHILECITO AERO
ARM00087222,ARM00087222-166,ARM00087222-1,463.9,10,3,166,1,CATAMARCA
ARM00087244,ARM00087244-166,ARM00087244-1,341,10,3,166,1,VILLA MARIA DEL RIO
ARM00087289,ARM00087289-166,ARM00087289-1,70.1,10,3,166,1,PASO DE LOS LIBRES GSN
ARM00087311,ARM00087311-166,ARM00087311-1,597.1,10,3,166,1,SAN JUAN
ARM00087320,ARM00087320-166,ARM00087320-1,461,10,3,166,1,CHAMICAL AERO
ARM00087322,ARM00087322-166,ARM00087322-1,658,10,3,166,1,CHEPES
ARM00087328,ARM00087328-166,ARM00087328-1,583.7,10,3,166,1,VILLA DOLORES
