DWD - Day Historical Data
airt/vapprs/ccov/pres    
                         
                         
AJ_Kettle  20171003
                                        
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  AIRT  AIRT  AIRT  AIRT  VPPRS VPPRS VPPRS VPPRS CCOV  CCOV  CCOV  CCOV  PRES   PRES   PRES   PRES  
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL  NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD MIN   MAX   AVG   NGOOD  MIN    MAX    AVG   
Stnid Height   Latitude Longitud St_date  En_date  N_TOTAL        DEG_C DEG_C DEG_C       hPa   hPa   hPa         OKTA  OKTA  OKTA         hPa    hPa    hPa   
+---+ +------+ +------+ +------+ +------+ +------+ +------+ +----++----++----++----++----++----++----++----++----++----++----++----++----++-----++-----++-----+
00603   159     50.7349   7.1931 20000701 20151231     5640   5568 -12.5  28.8 10.62  5524  1.60 22.80 10.48  2554  0.00  8.00  5.83  5523  958.2 1023.8  996.9
00606   569     48.0791  10.1977 19500101 19540731     1673   1673 -14.9  25.8  7.92     0-99.00-99.00-99.00  1673  0.00  8.00  5.24     0  -99.0  -99.0  -99.0
00614   240     51.5709   9.3120 19510101 20071231    17471  17471 -19.5  28.4  8.61 16559  1.10 23.30  9.64 17471  0.00  8.00  5.67     0  -99.0  -99.0  -99.0
00617    48     51.8728   6.8862 20040601 20151231     4231   4231 -11.7  28.3 10.54  4231  1.70 23.00 10.70  2770  0.00  8.00  5.81     0  -99.0  -99.0  -99.0
00619    12     53.5788   6.6703 19470101 20060228    21578  21578 -13.1  27.4  9.39 21578  1.70 24.90 10.52 21578  0.00  8.00  5.26 19174  958.0 1045.6 1013.4
00642     1     53.3517   8.4969 19660101 19931031    10135  10135 -13.8  26.2  9.03 10135  1.60 24.90 10.13 10135  0.00  8.00  5.51     0  -99.0  -99.0  -99.0
00643     0     53.2960   8.4529 19931101 19941231      426    426  -6.4  26.8  8.91   426  1.80 22.20  9.88   426  0.00  8.00  5.83     0  -99.0  -99.0  -99.0
00645    58     52.4036   7.9724 19470101 19520131     1857   1857 -14.0  25.9  9.07  1857  1.70 22.10  9.96  1857  0.00  8.00  5.38  1857  970.3 1032.6 1004.7
00648     9     53.8551   9.7152 19630501 20061231    15951  15951 -16.9  26.9  8.52 15951  1.60 26.90 10.19 15951  0.00  8.00  5.74     0  -99.0  -99.0  -99.0
00650    35     52.4136  12.5503 19480701 20010430    15645  15645 -20.0  29.9  8.94 15645  1.10 23.50  9.52 14251  0.00  8.00  5.21  2861  971.3 1037.3 1011.2
00652   384     49.5353  10.7706 19490101 19580731     3499   3499 -20.2  29.7  8.29  3499  1.10 21.60  9.19  3499  0.00  8.00  5.00     0  -99.0  -99.0  -99.0
00656   607     51.7234  10.6021 19360101 20151231    28390  28331 -21.7  26.5  6.22 28308  0.80 21.50  8.44 24966  0.00  8.00  5.65 28235  896.9 1065.0  943.6
00660    83     52.2744  10.5656 19480101 19601231     4749   4749 -20.0  28.0  9.08  4749  0.90 23.30  9.62  4749  0.00  8.00  5.50  2465  969.1 1031.8 1005.2
00661    75     52.2708  10.5334 18910101 19531231    21457  21456 -20.7  28.3  9.07 21311  0.70 26.00  9.45 21456  0.00  8.00  5.09  6940  965.8 1036.8 1006.6
00662    81     52.2914  10.4465 19610101 20151231    20088  20088 -18.5  29.3  9.30 20074  1.20 24.00  9.74 20015  0.00  8.00  5.41 20083  955.5 1035.5 1005.1
00685   585     49.9017   9.4281 19980112 20061101     3185   2913 -12.1  28.9  8.21  2879  1.60 21.50  9.44     0-99.00-99.00-99.00  2819  919.6  970.5  948.1
00691     4     53.0445   8.7985 18900101 20151231    45714  45683 -17.3  29.6  9.16 45632  1.20 24.70  9.90 45683  0.00  8.00  5.37 45683  962.5 1049.1 1013.6
00699     4     53.1004   8.7834 19490101 19580630     3468   3468 -15.7  27.2  9.11  3468  1.30 21.30  9.77  3468  0.00  8.00  5.31  3073  976.3 1041.6 1013.4
00701     7     53.5332   8.5761 19490101 20151231    24471  24471 -14.1  28.6  9.40 24466  1.50 24.70 10.24 24439  0.00  8.00  5.47 24457  960.9 1046.6 1013.4
